datlifeuid,taxakingdom,taxaphylum,taxaclass,taxaorder,taxafamily,taxagenus,taxaspecies,taxainfraspecies,taxabreed,referenceid,derived_from_graph,age_mortality_pdf_id,age_mortality_id,n,n_recaptures,title,list_cohort_period,list_mortality_type,list_source_column,list_type_x,list_sex,list_liberty,population,yearstart,yearend,Comment,embargodate,page,name,column,author_ge_sp,list_stage_timezero,age_left_truncation,age_right_censoring,list_x_units
5146,Animalia,Arthropoda,Branchiopoda,Diplostraca,Moinidae,Moina,macrocopa,,,AL00014_Nandini,,AL00014_Nandini_Moina_middle_min_LT.pdf,AL00014_Nandini_Moina_middle_min_LT.csv,40,,Age-specific survival of Moina macrocopa in relation to food concentration of  4.5 _ 10^6 cells/ml (maximum SD),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,120,Fig. 2b,survivorship / age (days),Moina_macrocopa,birth/hatch,,,
5141,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,aduncus,,,AL00014_Nandini,,AL00014_Nandini_Pleuroxus_high_max_LT.pdf,AL00014_Nandini_Pleuroxus_high_max_LT.csv,40,,Age-specific survival of Pleuroxus aduncus in relation to food concentration of  4.5 _ 10^6 cells/ml (maximum SD),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,122,Fig. 4c,survivorship / age (days),Pleuroxus_aduncus,birth/hatch,,,
5141,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,aduncus,,,AL00014_Nandini,,AL00014_Nandini_Pleuroxus_high_mean_LT.pdf,AL00014_Nandini_Pleuroxus_high_mean_LT.csv,40,,Age-specific survival of Pleuroxus aduncus in relation to food concentration of  4.5 _ 10^6 cells/ml (mean),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,122,Fig. 4c,survivorship / age (days),Pleuroxus_aduncus,birth/hatch,,,
5141,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,aduncus,,,AL00014_Nandini,,AL00014_Nandini_Pleuroxus_high_min_LT.pdf,AL00014_Nandini_Pleuroxus_high_min_LT.csv,40,,Age-specific survival of Pleuroxus aduncus in relation to food concentration of  4.5 _ 10^6 cells/ml (minimum SD),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,122,Fig. 4c,survivorship / age (days),Pleuroxus_aduncus,birth/hatch,,,
5141,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,aduncus,,,AL00014_Nandini,,AL00014_Nandini_Pleuroxus_low_max_LT.pdf,AL00014_Nandini_Pleuroxus_low_max_LT.csv,40,,Age-specific survival of Pleuroxus aduncus in relation to food concentration of  0.5 _ 10^6 cells/ml (maximum SD),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,122,Fig. 4a,survivorship / age (days),Pleuroxus_aduncus,birth/hatch,,,
5141,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,aduncus,,,AL00014_Nandini,,AL00014_Nandini_Pleuroxus_low_mean_LT.pdf,AL00014_Nandini_Pleuroxus_low_mean_LT.csv,40,,Age-specific survival of Pleuroxus aduncus in relation to food concentration of  0.5 _ 10^6 cells/ml (mean),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,122,Fig. 4a,survivorship / age (days),Pleuroxus_aduncus,birth/hatch,,,
5141,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,aduncus,,,AL00014_Nandini,,AL00014_Nandini_Pleuroxus_low_min_LT.pdf,AL00014_Nandini_Pleuroxus_low_min_LT.csv,40,,Age-specific survival of Pleuroxus aduncus in relation to food concentration of  0.5 _ 10^6 cells/ml (minimum SD),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,122,Fig. 4a,survivorship / age (days),Pleuroxus_aduncus,birth/hatch,,,
5141,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,aduncus,,,AL00014_Nandini,,AL00014_Nandini_Pleuroxus_middle_max_LT.pdf,AL00014_Nandini_Pleuroxus_middle_max_LT.csv,40,,Age-specific survival of Pleuroxus aduncus in relation to food concentration of  1.5 _ 10^6 cells/ml (maximum SD),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,122,Fig. 4b,survivorship / age (days),Pleuroxus_aduncus,birth/hatch,,,
5141,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,aduncus,,,AL00014_Nandini,,AL00014_Nandini_Pleuroxus_middle_mean_LT.pdf,AL00014_Nandini_Pleuroxus_middle_mean_LT.csv,40,,Age-specific survival ofPleuroxus aduncus in relation to food concentration of  1.5 _ 10^6 cells/ml (mean),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,122,Fig. 4b,survivorship / age (days),Pleuroxus_aduncus,birth/hatch,,,
5141,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Pleuroxus,aduncus,,,AL00014_Nandini,,AL00014_Nandini_Pleuroxus_middle_min_LT.pdf,AL00014_Nandini_Pleuroxus_middle_min_LT.csv,40,,Age-specific survival of Pleuroxus aduncus in relation to food concentration of  1.5 _ 10^6 cells/ml (minimum SD),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,122,Fig. 4b,survivorship / age (days),Pleuroxus_aduncus,birth/hatch,,,
